Item 1: Name: Dagger, Sprite: 1, SpriteFrame: 0, Color: 0
Item 2: Name: Dagger(S.C), Sprite: 1, SpriteFrame: 0, Color: 0
Item 3: Name: Dagger(Swd.breaker), Sprite: 1, SpriteFrame: 0, Color: 0
Item 4: Name: Dagger+1, Sprite: 1, SpriteFrame: 0, Color: 0
Item 6: Name: KightDagger, Sprite: 1, SpriteFrame: 0, Color: 0
Item 7: Name: Dirk, Sprite: 1, SpriteFrame: 0, Color: 0
Item 8: Name: ShortSword, Sprite: 1, SpriteFrame: 1, Color: 0
Item 9: Name: ShortSword+1, Sprite: 1, SpriteFrame: 1, Color: 0
Item 11: Name: ShortSword(S.C), Sprite: 1, SpriteFrame: 1, Color: 0
Item 12: Name: MainGauche, Sprite: 1, SpriteFrame: 1, Color: 0
Item 13: Name: MainGauche+1, Sprite: 1, SpriteFrame: 1, Color: 0
Item 14: Name: MainGauche(S.C), Sprite: 1, SpriteFrame: 1, Color: 0
Item 15: Name: Gradius, Sprite: 1, SpriteFrame: 1, Color: 0
Item 16: Name: Gradius+1, Sprite: 1, SpriteFrame: 1, Color: 0
Item 17: Name: LongSword, Sprite: 1, SpriteFrame: 2, Color: 0
Item 18: Name: LongSword+1, Sprite: 1, SpriteFrame: 2, Color: 0
Item 19: Name: LongSword+2, Sprite: 1, SpriteFrame: 2, Color: 0
Item 20: Name: Excaliber, Sprite: 1, SpriteFrame: 19, Color: 0
Item 22: Name: LongSword(S.C), Sprite: 1, SpriteFrame: 2, Color: 0
Item 23: Name: Sabre, Sprite: 1, SpriteFrame: 3, Color: 0
Item 24: Name: Sabre+1, Sprite: 1, SpriteFrame: 3, Color: 0
Item 25: Name: Scimitar, Sprite: 1, SpriteFrame: 4, Color: 0
Item 26: Name: Scimitar+1, Sprite: 1, SpriteFrame: 4, Color: 0
Item 27: Name: Scimitar+2, Sprite: 1, SpriteFrame: 4, Color: 0
Item 28: Name: Falchion, Sprite: 1, SpriteFrame: 5, Color: 0
Item 29: Name: Falchion+1, Sprite: 1, SpriteFrame: 5, Color: 0
Item 30: Name: Falchion+2, Sprite: 1, SpriteFrame: 5, Color: 0
Item 31: Name: Esterk, Sprite: 1, SpriteFrame: 6, Color: 0
Item 32: Name: Esterk+1, Sprite: 1, SpriteFrame: 6, Color: 0
Item 33: Name: Esterk+2, Sprite: 1, SpriteFrame: 6, Color: 0
Item 34: Name: Rapier, Sprite: 1, SpriteFrame: 6, Color: 0
Item 35: Name: Rapier+1, Sprite: 1, SpriteFrame: 6, Color: 0
Item 36: Name: Rapier+2, Sprite: 1, SpriteFrame: 6, Color: 0
Item 37: Name: TemplerSword, Sprite: 1, SpriteFrame: 6, Color: 0
Item 38: Name: BroadSword, Sprite: 1, SpriteFrame: 7, Color: 0
Item 39: Name: BroadSword+1, Sprite: 1, SpriteFrame: 7, Color: 0
Item 40: Name: BroadSword+2, Sprite: 1, SpriteFrame: 7, Color: 0
Item 42: Name: BastadSword, Sprite: 1, SpriteFrame: 8, Color: 0
Item 43: Name: BastadSword+1, Sprite: 1, SpriteFrame: 8, Color: 0
Item 44: Name: BastadSword+2, Sprite: 1, SpriteFrame: 8, Color: 0
Item 45: Name: BastadSword(S.C), Sprite: 1, SpriteFrame: 8, Color: 0
Item 46: Name: Claymore, Sprite: 1, SpriteFrame: 9, Color: 0
Item 47: Name: Claymore+1, Sprite: 1, SpriteFrame: 9, Color: 0
Item 48: Name: Claymore+2, Sprite: 1, SpriteFrame: 9, Color: 0
Item 49: Name: Claymore(S.C), Sprite: 1, SpriteFrame: 9, Color: 0
Item 50: Name: GreatSword, Sprite: 1, SpriteFrame: 10, Color: 0
Item 51: Name: GreatSword+1, Sprite: 1, SpriteFrame: 10, Color: 0
